,Name,Mileage,Dealer Name,Rating,Review Count,Price
121,2022 Mercedes-Benz A-Class A 220,"12,595 mi.",Mercedes-Benz of Foothill Ranch,4.7,656 ,"$36,999"
122,2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"43,753 mi.",Fletcher Jones Imports,4.9,"2,436 ","$51,994"
123,2022 Mercedes-Benz A-Class A 220 4MATIC,"3,787 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$36,900"
124,2020 Mercedes-Benz CLS 450 Base,"24,270 mi.",Mercedes-Benz of San Jose,4.6,897 ,"$55,498"
125,2022 Mercedes-Benz A-Class A 220,"13,236 mi.",Mercedes-Benz of Foothill Ranch,4.7,656 ,"$39,999"
126,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"24,253 mi.",Mercedes-Benz of Foothill Ranch,4.7,656 ,"$59,889"
127,2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"4,032 mi.",Mercedes-Benz of Hoffman Estates,4.6,"1,184 ","$131,999"
128,2021 Mercedes-Benz GLE 350 Base 4MATIC,"31,656 mi.",Serra Auto Campus,n/a,38 ,"$53,987"
129,2020 Mercedes-Benz GLS 450 Base 4MATIC,"26,134 mi.",Mercedes-Benz of Beaverton,4.4,"2,833 ","$62,994"
130,2020 Mercedes-Benz CLS 450 Base 4MATIC,"34,694 mi.",Mercedes-Benz of Hoffman Estates,4.6,"1,184 ","$57,999"
131,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"34,264 mi.",Mercedes-Benz Of Bloomfield Hills,3.9,111 ,"$56,890"
132,2022 Mercedes-Benz Sprinter 3500XD High Roof,"1,364 mi.",Mercedes-Benz Of Athens,4.1,276 ,"$63,734"
133,2021 Mercedes-Benz AMG GLC 43 Base 4MATIC,"19,754 mi.",Mercedes-Benz of Chandler,4.9,624 ,"$60,000"
134,2023 Mercedes-Benz AMG GLE 53 Base,"4,151 mi.",Mercedes-Benz of Hoffman Estates,4.6,"1,184 ","$104,999"
135,2023 Mercedes-Benz GLB 250 Base 4MATIC,"4,625 mi.",Mercedes-Benz of Rochester,n/a,6 ,"$47,588"
